工号,姓名,密码,部门,职位,学位,电话号码,年龄,工资,绩效,性别,入职时间
001-0001,admin,123,技术部,管理员,大学本科,13572245632,33,13800,6,男,01/01/2022
001-0002,王五,123,技术部,部长,专科,17782874366,32,13800,6.1,男,02/01/2022
001-0003,七七,123,技术部,职工,硕士,17782874367,34,13800,6.2,女,03/01/2022
001-0004,瑶瑶,123,技术部,职工,本科,17782874368,33,13800,6.3,女,01/01/2022
001-0005,申鹤,123,技术部,职工,博士,17782874369,30,13800,6.4,女,02/01/2022
001-0006,张三,123,技术部,职工,本科,17782874370,30,13800,6.5,男,03/01/2022
001-0007,李四,123,技术部,职工,硕士,17782874371,30,13800,6.4,男,01/01/2022
001-0008,胡桃,123,技术部,职工,本科,17782874372,30,13800,6.3,女,02/01/2022
001-0009,沈万三,123,技术部,职工,博士,17782874373,30,13800,6.2,男,03/01/2022
002-0001,王伟,123,管理部,职工,本科,17782874374,30,13800,6.1,男,01/01/2022
002-0002,杜甫,123,管理部,职工,硕士,17782874375,30,13800,6,男,02/01/2022
002-0003,工藤新一,123,管理部,职工,本科,17782874376,30,13800,6.3,男,03/01/2022
002-0004,尼古拉斯斯拉夫特,123,管理部,职工,博士,17782874377,30,13800,6.3,男,03/01/2023
002-0005,刘启,123,管理部,职工,本科,17782874378,30,13800,6.3,男,03/01/2024
002-0006,王杰,123,管理部,职工,硕士,17782874379,30,13800,6.3,男,03/01/2025
002-0007,夏琦,123,管理部,职工,本科,17782874380,30,13800,6.3,男,03/01/2026
002-0008,夏琴,123,管理部,职工,博士,17782874381,30,13800,6.3,男,03/01/2027
002-0009,刘宇,123,管理部,职工,本科,17782874382,30,13800,6.3,男,03/01/2028
003-0001,张明,123,财政部,职工,硕士,17782874383,30,13800,6.3,男,03/01/2029
003-0002,张敏,123,财政部,职工,本科,17782874384,34,13800,6.3,男,03/01/2030
003-0003,孙悟空,123,财政部,职工,博士,17782874385,34,13800,6.3,男,03/01/2031
003-0004,钟离,123,财政部,职工,本科,17782874386,34,13800,6.3,男,03/01/2032
003-0005,唐三藏,123,财政部,职工,硕士,17782874387,34,13800,6.3,男,03/01/2033
003-0006,猪八戒,123,财政部,职工,本科,17782874388,34,13800,6.3,男,03/01/2034
003-0007,沙悟净,123,财政部,职工,博士,17782874389,34,13800,6.3,男,03/01/2035
003-0008,周大福,123,财政部,职工,本科,17782874390,34,13800,6.3,男,03/01/2036
003-0009,王泽,123,财政部,职工,硕士,17782874391,34,13800,6.3,男,03/01/2037
004-0001,龙文章,123,人事部,职工,本科,17782874392,34,13800,6.3,男,03/01/2038
004-0002,大狗,123,人事部,职工,博士,17782874393,34,13800,6.3,男,03/01/2039
004-0003,二狗,123,人事部,职工,本科,17782874394,34,13800,6.3,男,03/01/2040
004-0004,三狗,123,人事部,职工,硕士,17782874395,42,13800,6.3,男,03/01/2041
004-0005,四狗,123,人事部,职工,本科,17782874396,33,13800,6.3,男,03/01/2042
004-0006,七七,123,人事部,职工,博士,17782874397,33,13800,6.3,男,03/01/2043
004-0007,文章,123,人事部,职工,本科,17782874398,33,13800,6.3,男,03/01/2044
004-0008,道东,123,人事部,职工,硕士,17782874399,33,13800,6.3,男,03/01/2045
004-0009,张旭东,123,人事部,职工,本科,17782874400,33,13800,6.3,男,03/01/2046
